data.id,data.name,data.symbol,data.slug,data.date_added,data.cmc_rank,data.self_reported_circulating_supply,data.self_reported_market_cap,data.tvl_ratio,data.last_updated,data.quote.USD.price,data.quote.USD.volume_24h,data.quote.USD.volume_change_24h,data.quote.USD.percent_change_1h,data.quote.USD.percent_change_24h,data.quote.USD.percent_change_7d,data.quote.USD.percent_change_30d,data.quote.USD.percent_change_60d,data.quote.USD.percent_change_90d,data.quote.USD.market_cap,data.quote.USD.market_cap_dominance,data.quote.USD.fully_diluted_market_cap,data.quote.USD.tvl,data.quote.USD.last_updated
4030,Algorand,ALGO,algorand,2019-06-20T00:00:00.000Z,31,,,,2022-12-20T00:11:00.000Z,0.1749258675,65921023.03,30.1623,0.74125164,-7.3531777,-20.07815453,-41.38014652,-42.90327348,-47.32062368,1247995862,0.1575,1749258675,,2022-12-20T00:11:00.000Z
18876,ApeCoin,APE,apecoin-ape,2022-03-17T12:26:36.000Z,32,361250000,1227340475,,2022-12-20T00:11:00.000Z,3.397482284,110688573.3,34.5905,0.76352069,-2.82511181,-22.20481732,1.97100764,-18.93308487,-40.15131887,1227340475,0.1548,3397482284,,2022-12-20T00:11:00.000Z
3077,VeChain,VET,vechain,2017-08-22T00:00:00.000Z,33,72511146418,1148248978,,2022-12-20T00:11:00.000Z,0.01583548234,32180406.48,33.9173,-0.16181335,-4.83092101,-16.27811076,-17.60633726,-27.49336869,-30.27313392,1148248978,0.1449,1373136392,,2022-12-20T00:11:00.000Z
6535,NEAR Protocol,NEAR,near-protocol,2020-08-11T00:00:00.000Z,34,,,,2022-12-20T00:11:00.000Z,1.261353468,83479500.22,151.5883,0.62359227,-7.63411325,-22.65874821,-27.57591714,-55.98642705,-67.03187029,1063690962,0.1342,1261353468,,2022-12-20T00:11:00.000Z
4642,Hedera,HBAR,hedera,2019-09-17T00:00:00.000Z,35,19389577881,792441979,,2022-12-20T00:11:00.000Z,0.0408694807,12350477.87,9.1464,0.37921574,-6.85207273,-13.61870325,-16.37178103,-29.98211607,-28.99751612,1017914665,0.1284,2043474035,,2022-12-20T00:11:00.000Z
8916,Internet Computer,ICP,internet-computer,2021-03-23T00:00:00.000Z,36,279540794.9,970480436.5,,2022-12-20T00:11:00.000Z,3.471695202,18392381.92,73.7454,-0.34250253,-5.87032436,-16.87834434,-12.22190439,-27.90376794,-41.48007905,970480436.5,0.1225,1712007823,,2022-12-20T00:11:00.000Z
2280,Filecoin,FIL,filecoin,2017-12-13T00:00:00.000Z,37,,,,2022-12-20T00:11:00.000Z,2.816457703,116690405.6,31.1563,1.04341753,-8.1358376,-33.85320793,-35.83990552,-42.90318773,-46.92082188,968645514.9,0.1222,968645514.9,,2022-12-20T00:11:00.000Z
3330,Pax Dollar,USDP,paxos-standard,2018-09-27T00:00:00.000Z,38,,,,2022-12-20T00:11:00.000Z,0.9949293903,1195688.162,86.7705,0.07374749,-0.4526244,-0.54476927,-0.48898584,-0.2628468,-0.56175246,940847953.9,0.1187,940847953.9,,2022-12-20T00:11:00.000Z
1765,EOS,EOS,eos,2017-07-01T00:00:00.000Z,39,,,,2022-12-20T00:11:00.000Z,0.8466109372,149096242.1,222.5042,0.00984283,-4.26708597,-13.65647744,-6.48912813,-18.82932352,-36.30263264,912167234.9,0.1151,898259977.6,,2022-12-20T00:11:00.000Z
3602,Bitcoin SV,BSV,bitcoin-sv,2018-11-09T00:00:00.000Z,40,,,,2022-12-20T00:11:00.000Z,45.09401084,35936851.3,-60.7154,-0.15441937,0.89798867,-4.96605165,15.15754089,-3.70889781,-7.58087949,868343875.2,0.1095,946974227.7,,2022-12-20T00:11:00.000Z
6892,MultiversX (Elrond),EGLD,elrond-egld,2020-09-04T00:00:00.000Z,41,,,,2022-12-20T00:11:00.000Z,35.32054788,29915729.03,109.7805,0.52518873,-9.36765021,-21.14985408,-17.85222098,-38.88558311,-26.11877453,842367185.2,0.1063,1109627718,,2022-12-20T00:11:00.000Z
2502,Huobi Token,HT,huobi-token,2018-02-03T00:00:00.000Z,42,,,,2022-12-20T00:11:00.000Z,5.189265898,10553072.4,15.389,0.59235231,-7.32553316,-17.28117205,14.07886976,-32.89822533,13.77754886,795813853,0.1004,2594632949,,2022-12-20T00:11:00.000Z
4172,Terra Classic,LUNC,terra-luna,2019-07-26T00:00:00.000Z,43,5984322739346,780195901.4,,2022-12-20T00:11:00.000Z,0.0001303732996,79793649.32,111.4419,0.5501746,-7.62814255,-23.45540246,-24.76475972,-45.00205069,-56.66363106,780188737.7,0.0984,895997366,,2022-12-20T00:11:00.000Z
7278,Aave,AAVE,aave,2020-10-02T00:00:00.000Z,44,,,0.20548086,2022-12-20T00:11:00.000Z,53.56600998,38166337.83,45.9037,0.02161574,-4.11233385,-10.88454969,-8.87152718,-33.45025026,-27.68668663,754916094.5,0.0952,857056159.7,3673899778,2022-12-20T00:11:00.000Z
2563,TrueUSD,TUSD,trueusd,2018-03-06T00:00:00.000Z,45,,,,2022-12-20T00:11:00.000Z,0.9992789219,22544107.32,8.4434,0.06418152,-0.05994506,-0.04023236,-0.22679641,-0.08928697,-0.06925735,754227626.2,0.0951,754227626.2,,2022-12-20T00:11:00.000Z
4558,Flow,FLOW,flow,2021-01-27T00:00:00.000Z,46,,,,2022-12-20T00:11:00.000Z,0.7222326705,21078738.18,79.2479,-0.01487816,-5.65574262,-23.94677363,-41.38654925,-49.35543447,-57.06866582,748377493.1,0.0944,992985915.4,,2022-12-20T00:11:00.000Z
2416,Theta Network,THETA,theta-network,2018-01-17T00:00:00.000Z,47,,,,2022-12-20T00:11:00.000Z,0.7331259832,12611988.13,79.624,0.21842936,-2.28429275,-11.54300575,-18.99523825,-24.91717891,-29.50442151,733125983.2,0.0925,733125983.2,,2022-12-20T00:11:00.000Z
2011,Tezos,XTZ,tezos,2017-10-06T00:00:00.000Z,48,,,,2022-12-20T00:11:00.000Z,0.7780713164,18635057.21,52.3116,0.36905621,-7.14903441,-18.97350555,-22.18929516,-41.00638753,-46.94305783,716164304,0.0903,732840283.4,,2022-12-20T00:11:00.000Z
19891,USDD,USDD,usdd,2022-05-02T08:07:12.000Z,49,,,,2022-12-20T00:11:00.000Z,0.9806836379,13179637.03,13.0186,0.01651064,-0.14062514,0.28300901,-1.04844262,-1.77381785,-1.80195696,711321259.6,0.0898,711321259.6,,2022-12-20T00:11:00.000Z
1437,Zcash,ZEC,zcash,2016-10-29T00:00:00.000Z,50,,,,2022-12-20T00:11:00.000Z,41.97710019,45986739.87,32.2498,-0.59501418,-3.50961039,-8.66920561,5.42155788,-19.15598861,-21.64547114,669683766.7,0.0845,881519103.9,,2022-12-20T00:11:00.000Z
6783,Axie Infinity,AXS,axie-infinity,2020-08-31T00:00:00.000Z,51,,,,2022-12-20T00:11:00.000Z,6.603427793,70809947.86,192.0747,1.56693867,-3.42398914,-14.28798638,-7.62296433,-30.60675357,-46.32598159,657924671.3,0.083,1782925504,,2022-12-20T00:11:00.000Z
4066,Chiliz,CHZ,chiliz,2019-07-01T00:00:00.000Z,52,,,,2022-12-20T00:11:00.000Z,0.1068771266,104268063.8,-40.6483,0.79134087,-9.81013827,-22.82473666,-56.17011814,-36.33729225,-55.55380991,655945363.1,0.0827,950018902.9,,2022-12-20T00:11:00.000Z
6210,The Sandbox,SAND,the-sandbox,2020-08-05T00:00:00.000Z,53,,,,2022-12-20T00:11:00.000Z,0.4324425687,88800838.17,51.939,0.57837812,-8.43494206,-22.55046964,-27.21944997,-40.14331041,-48.78749327,648434705.4,0.0818,1297327706,,2022-12-20T00:11:00.000Z
2087,KuCoin Token,KCS,kucoin-token,2017-10-24T00:00:00.000Z,54,,,,2022-12-20T00:11:00.000Z,6.310546454,583692.3994,18.5661,-0.0266329,-2.43392577,-4.06552658,-13.06524762,-33.48724275,-29.38732236,620830682.7,0.0783,1073541568,,2022-12-20T00:11:00.000Z
5964,Trust Wallet Token,TWT,trust-wallet-token,2020-07-30T00:00:00.000Z,55,416649900,614492237,,2022-12-20T00:11:00.000Z,1.474840716,73975356.38,-17.8666,-0.16661622,-13.38486726,-37.19663802,-31.74442752,32.4684744,62.54208158,614492237,0.0775,1474840716,,2022-12-20T00:11:00.000Z
3306,Gemini Dollar,GUSD,gemini-dollar,2018-10-05T00:00:00.000Z,56,,,,2022-12-20T00:11:00.000Z,1.006000787,718987.1885,156.9228,-0.06728916,-0.06213018,-0.90306606,-0.61888395,0.73955043,1.19585101,610692660.7,0.077,614807022.3,,2022-12-20T00:11:00.000Z
11221,BitDAO,BIT,bitdao,2021-08-11T00:00:00.000Z,57,3000000000,845444179.7,,2022-12-20T00:11:00.000Z,0.2818147266,5952661.215,118.5913,0.47922468,-4.1849646,-8.92679745,-6.54458672,-34.34169504,-41.30433909,589259422.9,0.0743,2818147266,,2022-12-20T00:11:00.000Z
16086,BitTorrent-New,BTT,bittorrent-new,2019-01-31T00:00:00.000Z,58,,,,2022-12-20T00:11:00.000Z,0.0000006186322371,6859643.84,64.4808,0.04477761,-2.47477417,-8.48144219,-6.91799991,-19.12979037,-21.11248436,586439852.8,0.074,612445914.8,,2022-12-20T00:11:00.000Z
1966,Decentraland,MANA,decentraland,2017-09-17T00:00:00.000Z,59,,,,2022-12-20T00:11:00.000Z,0.3033440919,56559234.55,68.8087,0.46538052,-7.01303366,-21.00798527,-27.3606534,-49.45387923,-57.13092006,562728829.6,0.071,665397104.3,,2022-12-20T00:11:00.000Z
3513,Fantom,FTM,fantom,2018-10-29T00:00:00.000Z,60,,,,2022-12-20T00:11:00.000Z,0.1958960048,56659301.2,79.6698,0.59188063,-4.81697677,-16.67468723,6.78198578,-1.69394203,-13.59640908,541889532.7,0.0684,621969815.3,,2022-12-20T00:11:00.000Z
7186,PancakeSwap,CAKE,pancakeswap,2020-09-25T00:00:00.000Z,61,,,0.23446385,2022-12-20T00:11:00.000Z,3.342040559,25249422.73,-11.6967,0.35869703,-3.55017655,-13.47034478,-12.66721431,-23.89967078,-23.04569152,532181749.7,0.0671,2506530419,2269781663,2022-12-20T00:11:00.000Z
1518,Maker,MKR,maker,2017-01-29T00:00:00.000Z,62,,,0.08656079,2022-12-20T00:11:00.000Z,528.0714485,14276869.11,29.7978,0.36972435,-4.79642675,-10.18232817,-22.57226314,-49.81632322,-13.11595,516259037.8,0.0651,531016503,5964121012,2022-12-20T00:11:00.000Z
21794,Aptos,APT,aptos,2022-10-19T01:50:25.000Z,63,130000000,495114221.2,,2022-12-20T00:11:00.000Z,3.808570932,69046137.69,20.8478,0.94136982,-6.01284459,-15.85259543,-17.45911597,-47.87834072,-54.57825754,495114221.2,0.0625,3808570932,,2022-12-20T00:11:00.000Z
4705,PAX Gold,PAXG,pax-gold,2019-09-26T00:00:00.000Z,64,271181,487394899.2,,2022-12-20T00:11:00.000Z,1797.304749,7631785.515,9.4211,0.19869513,-0.00500365,1.14056728,2.85730978,10.88643773,8.44091185,487543554.3,0.0615,487543554.3,,2022-12-20T00:11:00.000Z
6719,The Graph,GRT,the-graph,2020-12-17T00:00:00.000Z,65,,,,2022-12-20T00:11:00.000Z,0.05501640075,14179347.61,92.6432,0.85638952,-4.56177177,-19.38813228,-8.45422366,-29.20386017,-43.17870306,479889725.1,0.0606,553302386.8,,2022-12-20T00:11:00.000Z
18679,Chain,XCN,chain,2022-03-09T16:10:43.000Z,66,,,,2022-12-20T00:11:00.000Z,0.02220156795,5296725.291,149.8572,0.68505394,-8.93089315,-34.34042064,-54.2877833,-67.16070022,-65.10156884,476729470.5,0.0602,1187220228,,2022-12-20T00:11:00.000Z
4256,Klaytn,KLAY,klaytn,2020-03-30T00:00:00.000Z,67,,,,2022-12-20T00:11:00.000Z,0.152317758,18895469.11,-1.5068,0.21906929,-3.78715968,-16.62314979,-12.21927849,14.54789995,-23.28297537,467034335.7,0.0589,1671977102,,2022-12-20T00:11:00.000Z
131,Dash,DASH,dash,2014-02-14T00:00:00.000Z,68,,,,2022-12-20T00:11:00.000Z,41.26945199,56047589.6,6.9139,0.05529414,-2.96712472,-15.3691404,15.74514352,4.05316109,1.37535198,456278767.8,0.0576,779992642.5,,2022-12-20T00:11:00.000Z
10791,eCash,XEC,ecash,2021-07-08T00:00:00.000Z,69,19256404673303,444484724.9,,2022-12-20T00:11:00.000Z,0.00002308243582,6762284.518,76.3634,0.5764834,-7.36876014,-20.01613929,-23.37282046,-35.97092807,-39.60925678,444484724.9,0.0561,484731152.1,,2022-12-20T00:11:00.000Z
1376,Neo,NEO,neo,2016-09-08T00:00:00.000Z,70,,,,2022-12-20T00:11:00.000Z,6.29448384,20420952.14,32.3239,0.80101633,-6.57933637,-15.4618827,-7.7381814,-18.74912904,-24.5080639,444005531.8,0.056,629448384,,2022-12-20T00:11:00.000Z
1720,IOTA,MIOTA,iota,2017-06-13T00:00:00.000Z,71,,,,2022-12-20T00:11:00.000Z,0.1594027835,8099438.858,92.5981,0.09660189,-5.37715169,-21.25761871,-28.64921608,-34.51618055,-39.22949177,443064863.9,0.0559,443064863.9,,2022-12-20T00:11:00.000Z
8642,Fei USD,FEI,fei-usd,2021-03-02T00:00:00.000Z,72,,,93860764.75,2022-12-20T00:11:00.000Z,0.9990850501,944562.8197,-20.7176,0.03697863,-0.07931985,1.04433709,0.59918384,1.00222717,0.67751076,424607327.6,0.0536,425726857.2,4.5238,2022-12-20T00:11:00.000Z
4157,THORChain,RUNE,thorchain,2019-07-23T00:00:00.000Z,73,326362945,423221080.8,4.52541733,2022-12-20T00:11:00.000Z,1.296780432,38657932.92,83.5137,-0.98598748,-1.9440228,-6.61081892,5.74327533,-9.09916989,-19.54408043,424120555,0.0535,648390216.1,93719655.81,2022-12-20T00:11:00.000Z
2586,Synthetix,SNX,synthetix,2018-03-14T00:00:00.000Z,74,,,,2022-12-20T00:11:00.000Z,1.537344076,18048339.82,20.8369,0.28034432,-4.66198865,-18.45189882,-11.99216685,-31.48695531,-34.54419066,382475941.4,0.0483,473608696.3,,2022-12-20T00:11:00.000Z
11857,GMX,GMX,gmx,2021-09-13T12:11:50.000Z,75,,,,2022-12-20T00:11:00.000Z,44.03968096,15485025.91,63.9692,1.41782166,-4.84020517,-25.01064947,2.46023653,32.14939971,11.40983289,368550824.3,0.0465,386631415.5,,2022-12-20T00:11:00.000Z
4269,GateToken,GT,gatetoken,2019-08-20T00:00:00.000Z,76,,,,2022-12-20T00:11:00.000Z,3.373898847,2398409.437,378.8885,0.14274393,-0.19939461,-5.12199491,-6.05750047,-22.50156076,-18.64391212,365275417.2,0.0461,1012169654,,2022-12-20T00:11:00.000Z
12220,Osmosis,OSMO,osmosis,2021-09-30T16:58:27.000Z,77,,,,2022-12-20T00:11:00.000Z,0.7394891407,9293847.649,36.9029,-0.59067344,-3.88739274,-21.25190456,-33.83108637,-35.04869158,-40.23792215,364265518.6,0.046,739489140.7,,2022-12-20T00:11:00.000Z
5068,Neutrino USD,USDN,neutrino-usd,2020-01-30T00:00:00.000Z,78,,,,2022-12-20T00:11:00.000Z,0.5348652134,788796.7656,96.2537,-1.19278982,-14.92403714,-33.86535909,-42.6397804,-45.43497623,-42.44835787,363850776.7,0.0459,363851099.8,,2022-12-20T00:11:00.000Z
8646,Mina,MINA,mina,2021-03-02T00:00:00.000Z,79,,,,2022-12-20T00:11:00.000Z,0.46699852,8588355.131,4.1047,0.60209558,-1.43667082,-15.17989922,-18.46807804,-11.97538428,-18.48374884,363659431.9,0.0459,384855802.3,,2022-12-20T00:11:00.000Z
2694,Nexo,NEXO,nexo,2018-05-01T00:00:00.000Z,80,,,,2022-12-20T00:11:00.000Z,0.6292961492,3632447.532,16.1397,0.46509816,-1.29627957,-3.25789499,-11.8132965,-29.59138739,-28.35181442,352405850.5,0.0445,629296149.2,,2022-12-20T00:11:00.000Z
2634,XDC Network,XDC,xinfin,2018-04-12T00:00:00.000Z,81,,,,2022-12-20T00:11:00.000Z,0.02649452351,4529680.017,112.6122,-0.27092571,9.62308834,25.46020468,1.19334368,-14.59640201,1.2133632,326015448.3,0.0411,998976345.5,,2022-12-20T00:11:00.000Z
21296,EthereumPoW,ETHW,ethereum-pow,2022-08-08T05:19:50.000Z,82,107623531,312188355.4,,2022-12-20T00:11:00.000Z,2.900744403,11865829.38,8.7131,0.43255802,-2.37122092,-18.97561776,-22.01123668,-52.62959863,-52.36934675,312189759.3,0.0394,312189759.3,,2022-12-20T00:11:00.000Z
10603,ImmutableX,IMX,immutable-x,2021-06-24T00:00:00.000Z,83,570354831,242249616.6,,2022-12-20T00:11:00.000Z,0.4247349254,13355657.81,296.693,-0.14324131,1.05232376,-0.22896113,0.51162861,-25.12172767,-44.08867185,310659317.5,0.0392,849469850.8,,2022-12-20T00:11:00.000Z
8000,Lido DAO,LDO,lido-dao,2020-12-15T00:00:00.000Z,84,823605907.6,784000056.7,0.05115789,2022-12-20T00:11:00.000Z,0.9519116479,8303584.236,41.4892,-0.97222943,-3.49929989,-10.16026497,-20.44743759,-36.23626865,-46.91940042,297901848.7,0.0376,951911647.9,5823184711,2022-12-20T00:11:00.000Z
4847,Stacks,STX,stacks,2019-10-28T00:00:00.000Z,85,1048765672,231441697.5,,2022-12-20T00:11:00.000Z,0.2206800849,5776797.677,97.8324,0.17940671,-5.60323489,-27.42072573,-6.73128279,-25.63424953,-34.36346799,297789138.8,0.0376,401196394.3,,2022-12-20T00:11:00.000Z
8104,1inch Network,1INCH,1inch,2020-12-25T00:00:00.000Z,86,764779053.3,292608640.5,,2022-12-20T00:11:00.000Z,0.3826054587,15488391.95,96.5919,-0.53693741,-2.12147714,-11.40546978,-28.84228359,-31.83105785,-36.27443103,292608640.5,0.0369,573908188,,2022-12-20T00:11:00.000Z
